"id","name","sport","sport_id"
98084,Cagliari Calcio,Soccer,1
117034,Independente EC AP,Soccer,1
97728,Colombia,Soccer,1
112299,AS Djerba,Soccer,1
117834,NK Ponikve,Soccer,1
97515,Zalaegerszeg TE,Soccer,1
108361,SV Langenrohr,Soccer,1
109613,Bray Wanderers AFC,Soccer,1
98863,CD Universidad Cesar Vallejo,Soccer,1
98761,Odds BK 2,Soccer,1
113121,Ireland,Soccer,1
99665,CF Pozuelo de Alarcon,Soccer,1
114754,New Zealand,Soccer,1
98790,Tromsoe 2,Soccer,1
95517,Al-Riffa SC,Soccer,1
109615,FC Aktobe,Soccer,1
95096,USM Alger,Soccer,1
96792,FC Borgo,Soccer,1
98381,Kedah Darul Aman,Soccer,1
97879,Venezuela,Soccer,1
95256,Excursionistas,Soccer,1
96216,SK Hranice,Soccer,1
99785,CD Avance Ezcabarte,Soccer,1
95993,Kayanza United FC,Soccer,1
96829,Sochaux-Montbeliard,Soccer,1
95526,Qalali Club,Soccer,1
105993,Rio Ave FC,Soccer,1
99998,FC Bavois,Soccer,1
97602,IH Hafnarfjordur,Soccer,1
99378,Cadiz CF,Soccer,1
107739,Miami United,Soccer,1
100167,"24Erzincanspor",Soccer,1
98715,Lysekloster,Soccer,1
122068,Fiji,Soccer,1
108919,FK Jezero Plav,Soccer,1
99092,ACS Sepsi OSK Sfantu Gheorghe,Soccer,1
112422,CA Juventud de Las Piedras,Soccer,1
95793,Uniao Suzano AC SP,Soccer,1
98080,Inter Milano,Soccer,1
99226,Stenhousemuir FC,Soccer,1
99962,Upsala IF,Soccer,1
98692,Sotra SK,Soccer,1
113235,Hammarby Talang FF,Soccer,1
95442,SV Allerheiligen,Soccer,1
99691,MALAGA B,Soccer,1
115783,CA Taquaritinga SP,Soccer,1
97703,Latvia,Soccer,1
117424,Uzbekistan,Soccer,1
106351,FC Francavilla 1931,Soccer,1
97372,Accra Lions,Soccer,1
113683,Auckland United FC,Soccer,1
121112,Jiangxi Lushan,Soccer,1
111334,Knattspyrnufelagio GG,Soccer,1
95166,CA Sarmiento Junin,Soccer,1
108348,OFK Belgrade,Soccer,1
117025,Moldova,Soccer,1
97379,Europa FC,Soccer,1
106367,Vibonese Calcio,Soccer,1
99944,FBK Karlstad,Soccer,1
106327,US Angri 1927,Soccer,1
100429,Prestatyn Town,Soccer,1
99623,CD San Ignacio,Soccer,1
109306,NK Posusje,Soccer,1
111345,UMF Tindastoll,Soccer,1
118741,Asc Olimpic Zarnesti,Soccer,1
97585,KF Fjallabyggd,Soccer,1
117081,Lions United FC,Soccer,1
95078,Partizani Tirana,Soccer,1
97225,Tennis Borussia Berlin,Soccer,1
97357,"1. FFC Turbine Potsdam II",Soccer,1
99947,Saffle SK,Soccer,1
97994,Khalijfars Mahshahr,Soccer,1
113970,FC Tucson,Soccer,1
96256,Tj Sokol Zivanice,Soccer,1
117010,Internacional de Lages SC,Soccer,1
96522,AFC Telford United,Soccer,1
118951,Preston Lions FC,Soccer,1
98519,Alebrijes de Oaxaca II,Soccer,1
95742,Vila Nova FC GO,Soccer,1
98256,Zweigen Kanazawa,Soccer,1
122038,Chongqing Tonglianglong FC,Soccer,1
96230,FK Hodonin,Soccer,1
107652,KF Drita,Soccer,1
99020,FC Vizela,Soccer,1
112848,Bayside United,Soccer,1
99694,El Palo FC,Soccer,1
95674,Itabuna EC BA,Soccer,1
116770,Club El Porvenir,Soccer,1
106394,FC Hegelmann Kaunas,Soccer,1
96371,Everton FC,Soccer,1
95174,Argentinos Juniors,Soccer,1
122105,Gramadense RS,Soccer,1
95608,Oriente Petrolero,Soccer,1
113634,FK Transinvest,Soccer,1
96737,Turun Palloseura,Soccer,1
97173,VfB Stuttgart,Soccer,1
118743,ACS Minerul Costesti,Soccer,1
97371,Asante Kotoko,Soccer,1
111371,FK Buducnost Banovici,Soccer,1
97650,Dewa United,Soccer,1
105996,Boavista Porto,Soccer,1
96463,Barnet FC,Soccer,1
113300,Union Omaha SC,Soccer,1
97583,IR Reykjavik,Soccer,1
95448,Union Gurten,Soccer,1
109847,Chuncheon Citizen FC,Soccer,1
113749,Henan Jianye,Soccer,1
97404,AE Kifisia FC,Soccer,1
100059,Phrae United,Soccer,1
100338,CF Montreal,Soccer,1
108251,Ethiopian Medhin,Soccer,1
99486,CD Arnedo,Soccer,1
97349,FK 03 Pirmasens,Soccer,1
97358,VfL Wolfsburg II,Soccer,1
96425,Derby County,Soccer,1
98725,Grorud IL 2,Soccer,1
99162,AL Ettifaq FC,Soccer,1
96360,Alianza FC U20,Soccer,1
97846,GKS Jastrzebie,Soccer,1
96019,San Luis de Quillota,Soccer,1
97489,Hong Kong FC,Soccer,1
97053,SC Viktoria 06 Griesheim,Soccer,1
95625,Orapa United,Soccer,1
96513,Banbury United,Soccer,1
100009,Juventus Zurich,Soccer,1
96348,AD Isidro Metapan,Soccer,1
99678,Salamanca CF UDS,Soccer,1
98777,Strindheim TF,Soccer,1
115216,Tj Slovan Bzenec,Soccer,1
113219,FC Nosta Novotroitsk,Soccer,1
97205,USI Lupo Martini Wolfsburg,Soccer,1
106721,FC Jazz,Soccer,1
98516,Saltillo FC,Soccer,1
97423,Chania FC,Soccer,1
106249,A.C. Mestre,Soccer,1
106319,Asd Pineto Calcio,Soccer,1
99840,CD Torrijos,Soccer,1
109945,Ferroviaria SP,Soccer,1
100177,Yomraspor,Soccer,1
106729,Grankulla IFK,Soccer,1
100193,Darica Genclerbirligi,Soccer,1
118755,CS Gloria Lunca-Teuz Cermei,Soccer,1
98149,Mantova 1911,Soccer,1
118454,Red Bull Bragantino SP,Soccer,1
98560,VVV Venlo,Soccer,1
96968,"1. Goppinger SV",Soccer,1
111763,Bollstanas SK,Soccer,1
113877,Southern Soccer Academy,Soccer,1
96057,CD Once Caldas,Soccer,1
106043,Adr Jicaral,Soccer,1
98938,CD Trofense,Soccer,1
99641,Elche Ilicitano CF,Soccer,1
96488,Hemel Hempstead Town,Soccer,1
97905,Trinidad and Tobago,Soccer,1
96403,Middlesbrough FC,Soccer,1
96772,Paris FC,Soccer,1
116793,ACF Fiorentina Viareggio Team,Soccer,1
112877,FK Radnik Hadzici,Soccer,1
95073,KS Kukesi,Soccer,1
97899,Tunisia,Soccer,1
117122,Sportivo San Lorenzo,Soccer,1
113894,Birmingham Legion FC,Soccer,1
99801,Casalarreina CF,Soccer,1
97108,USC Paloma Hamburg,Soccer,1
113962,Dalton Red Wolves SC,Soccer,1
98503,Yalmakan,Soccer,1
96987,MSV Pampow,Soccer,1
106807,Wales,Soccer,1
95202,Gimnasia y Esgrima Mendoza,Soccer,1
96969,SV Oberachern,Soccer,1
100301,AL Jazira AL Hamra,Soccer,1
108441,CD Racing Junior de Armenia,Soccer,1
95667,AA Internacional Limeira SP,Soccer,1
99635,FC Vilafranca,Soccer,1
109965,KF Phoenix Banje,Soccer,1
106339,S.S.D. Casarano Calcio,Soccer,1
98949,SC Vianense,Soccer,1
98936,FC Penafiel,Soccer,1
98570,Excelsior Rotterdam,Soccer,1
96290,AB Gladsaxe,Soccer,1
111346,Knattspyrnufelagid Hordur,Soccer,1
98594,ADO Den Haag,Soccer,1
99247,Dundee United FC,Soccer,1
97275,"1. SC Feucht",Soccer,1
106723,P-Iirot,Soccer,1
113116,Faroe Islands,Soccer,1
119143,FC Kvant Obninsk,Soccer,1
117981,Coyotes FC,Soccer,1
97229,BSG Chemie Leipzig,Soccer,1
111054,Manjung City FC,Soccer,1
95555,K Beerschot VA,Soccer,1
112822,Club Mercedes,Soccer,1
95510,Energetik Mingechevir,Soccer,1
113789,Phu Dong FC,Soccer,1
113306,Navbahor II,Soccer,1
111292,FK Bokelj Kotor,Soccer,1
97546,Valur Reykjavik,Soccer,1
96888,FC Augsburg,Soccer,1
112865,Austria Salzburg,Soccer,1
113195,FK Zenit St. Petersburg,Soccer,1
115705,SC Aymores MG,Soccer,1
96321,SD Aucas,Soccer,1
106782,FC Baltika Kaliningrad,Soccer,1
108574,NK Hrvace,Soccer,1
99214,Kelty Hearts FC,Soccer,1
117203,FK Atmosfera,Soccer,1
106184,Kwara United,Soccer,1
95298,Adelaide City FC,Soccer,1
100086,AS Rejiche,Soccer,1
100356,Phoenix Rising FC,Soccer,1
96844,Valenciennes FC,Soccer,1
97986,Chooka Talesh FC,Soccer,1
106704,CA Colegiales,Soccer,1
95142,ASM Oran,Soccer,1
113254,Osters IF,Soccer,1
98549,FC Dordrecht,Soccer,1
97616,Punjab FC,Soccer,1
121243,HPS,Soccer,1
96047,Deportes Quindio,Soccer,1
121209,Myanmar,Soccer,1
107785,Olympique Club of Khouribga,Soccer,1
97122,Oldenburger SV,Soccer,1
96479,Notts County,Soccer,1
118073,AE Velo Clube SP,Soccer,1
96073,CS Herediano,Soccer,1
100201,Elazig Karakocan,Soccer,1
97890,Egypt,Soccer,1
113143,Norway,Soccer,1
96300,IF Lyseng,Soccer,1
97338,"1. FC Kaiserslautern II",Soccer,1
100047,Buriram United FC,Soccer,1
98962,Gondomar SC,Soccer,1
109802,Valmiera FC,Soccer,1
97288,FC Gundelfingen,Soccer,1
98463,Pumas UNAM,Soccer,1
96213,"1. FC Slovacko B",Soccer,1
117155,France,Soccer,1
113697,Raufoss IL,Soccer,1
111859,Goias EC GO,Soccer,1
96689,Tartu JK Tammeka,Soccer,1
99722,UD Collerense,Soccer,1
113754,Shandong Sports Lottery,Soccer,1
105765,Tj Sokol Lanzhot,Soccer,1
100172,Hacettepe 1945 SK,Soccer,1
97775,AS Roma,Soccer,1
113687,Birkenhead United	AFC,Soccer,1
113007,Romania,Soccer,1
95403,SCR Altach,Soccer,1
100417,Conwy Borough,Soccer,1
96490,Braintree Town FC,Soccer,1
107686,Omladinac Novi Banovci,Soccer,1
96253,FK Banik Most-Sous,Soccer,1
117215,FC Killas,Soccer,1
112406,Seoul United FC,Soccer,1
96877,FC Shukura Kobuleti,Soccer,1
96236,FK Admira Prague,Soccer,1
118751,ACS Viitorul Pandurii Targu Jiu II,Soccer,1
100416,Holyhead Hotspur,Soccer,1
112905,BK Skjold,Soccer,1
99781,Cp Montehermoso,Soccer,1
95554,Lierse Kempenzonen,Soccer,1
96584,Billericay Town,Soccer,1
113184,Wisla Krakow,Soccer,1
113882,Swan City SC,Soccer,1
99759,Alcantarilla FC,Soccer,1
95369,Western Sydney Wanderers,Soccer,1
97094,OSC Bremerhaven,Soccer,1
114004,FA Euro New York,Soccer,1
95992,Bumamuru FC,Soccer,1
117236,Norway,Soccer,1
108439,C.D. Cacahuatique,Soccer,1
113084,Sweden,Soccer,1
109314,CA Youssoufia Berrechid,Soccer,1
98662,Lokomotive Pehchevo,Soccer,1
99142,Police FC Rwanda,Soccer,1
97131,TSV Pansdorf,Soccer,1
114582,Chertanovo Moscow,Soccer,1
109676,Manchester City FC,Soccer,1
106336,Matera Calcio,Soccer,1
106714,TiPS Vantaa,Soccer,1
96174,FK Mlada Boleslav,Soccer,1
96520,Southport FC,Soccer,1
118937,Grove Soccer United,Soccer,1
119760,Shandong Taishan,Soccer,1
108356,FC Ararat-Armenia,Soccer,1
100156,AS Sariyer,Soccer,1
96866,AS Monaco,Soccer,1
118721,CSO Plopeni,Soccer,1
96346,CD Luis Angel Firpo Usulutan,Soccer,1
97313,SpVg Schonnebeck 1910,Soccer,1
95819,AO Itabaiana SE,Soccer,1
96794,CS Sedan-Ardennes,Soccer,1
96243,FK Kraluv Dvur,Soccer,1
100087,Olympique de Beja,Soccer,1
96721,FC Haka Valkeakoski,Soccer,1
114575,Lokomotiv Moscow,Soccer,1
99143,Sunrise,Soccer,1
113963,North Alabama SC,Soccer,1
97785,FK Metalac Gornji Milanovac,Soccer,1
95179,CA Central Cordoba SE,Soccer,1
113066,Estonia,Soccer,1
99979,FC St. Gallen 1879,Soccer,1
96280,Nykoebing FC,Soccer,1
110134,KS Wisloka Debica,Soccer,1
113062,Montenegro,Soccer,1
96487,Cheshunt FC,Soccer,1
99035,Varzim SC,Soccer,1
106354,US Castrovillari Calcio,Soccer,1
121135,Miami Dutch Lions,Soccer,1
98528,Huracanes Izcalli FC,Soccer,1
95350,Altona Magic SC,Soccer,1
95171,CA River Plate (ARG),Soccer,1
116774,Belarus,Soccer,1
106395,MFK Zemplin Michalovce,Soccer,1
98775,Kolstad,Soccer,1
95954,FC Arda Kardzhali,Soccer,1
95988,Le Messager Ngozi FC,Soccer,1
106180,Rivers United FC,Soccer,1
113113,Greece,Soccer,1
97103,Tura Harksheide,Soccer,1
111014,Wartburgia,Soccer,1
98491,Tritones Vallarta MFC,Soccer,1
98268,Vanraure Hachinohe FC,Soccer,1
117075,Sacramento Gold FC,Soccer,1
100272,Maroons FC,Soccer,1
95624,Bdf Xi,Soccer,1
111360,Smari,Soccer,1
110644,Miami FC,Soccer,1
95924,Adesg AC,Soccer,1
112944,Vikingur Gota II,Soccer,1
96722,IFK Mariehamn,Soccer,1
106055,Prison Leopards,Soccer,1
111511,Fehring 1947,Soccer,1
106360,ASD Cittanova Calcio,Soccer,1
99320,Aluminij Kidricevo,Soccer,1
97919,FC RB Salzburg,Soccer,1
95289,Macarthur FC,Soccer,1
95877,Gama DF,Soccer,1
100163,Kastamonuspor,Soccer,1
95605,Vaca Diez,Soccer,1
109906,Western Pride FC,Soccer,1
112684,Libya,Soccer,1
99272,FK Zeleziarne Podbrezova,Soccer,1
97420,GS Kallithea FC,Soccer,1
110099,Bron Radom,Soccer,1
116805,SC Recife Viareggio Team,Soccer,1
114580,CSKA Moscow,Soccer,1
116772,Uruguay,Soccer,1
95644,Volta Redonda FC RJ,Soccer,1
98037,US Cremonese,Soccer,1
98760,FK Eik Toensberg 871,Soccer,1
106718,FC Honka/Akatemia,Soccer,1
95359,Weston Workers FC,Soccer,1
96352,Alianza FC San Salvador,Soccer,1
98043,Torino FC,Soccer,1
97261,VfB Eichstatt,Soccer,1
112295,Stade Gabesien,Soccer,1
98323,Al-Salmiya SC,Soccer,1
95780,CS Sergipe SE,Soccer,1
118958,Luxembourg,Soccer,1
108664,TUS Fichte Lintfort,Soccer,1
100306,Hatta SC,Soccer,1
95525,Al Ittihad,Soccer,1
95558,FCV Dender EH,Soccer,1
113285,NK Veres Rivne,Soccer,1
113163,FC Balzers,Soccer,1
96356,CD Dragon,Soccer,1
121272,Pps Old Stars,Soccer,1
118045,EC Sao Bento SP,Soccer,1
97262,Wurzburger FV,Soccer,1
118023,Hungary,Soccer,1
99039,CF Canelas 2010,Soccer,1
100386,Cardiff Metropolitan University FC,Soccer,1
99058,Al-Shamal,Soccer,1
98637,Bregalnica Stip,Soccer,1
113907,Chicago City,Soccer,1
98951,Atletico de Vila Mea,Soccer,1
98932,FC Porto B,Soccer,1
99148,SP Cailungo,Soccer,1
98253,V-Varen Nagasaki,Soccer,1
113934,Monterey Bay FC Usl 2,Soccer,1
111499,FK Tekstilac Derventa,Soccer,1
96665,Watford FC,Soccer,1
97563,IF Vestri,Soccer,1
99317,NK Maribor,Soccer,1
112959,Thailand,Soccer,1
99750,CD Mensajero,Soccer,1
98298,Leopards SC,Soccer,1
97642,PSS Sleman,Soccer,1
112941,KI Klaksvik,Soccer,1
97847,Skeid Fotball,Soccer,1
96314,Mushuc Runa SC,Soccer,1
98259,Tokushima Vortis,Soccer,1
96262,FK Prepere,Soccer,1
98474,Puebla FC,Soccer,1
99417,UD Mutilvera,Soccer,1
112934,IF Fuglafjordur,Soccer,1
95224,CA Huracan,Soccer,1
111864,SC Internacional RS,Soccer,1
108316,CSD Flandria,Soccer,1
96156,Apep Pitsilias,Soccer,1
112819,CA Lugano,Soccer,1
100162,"1928 Bucaspor",Soccer,1
95195,Guillermo Brown,Soccer,1
97438,Athlitiki Enosi Larissas FC,Soccer,1
99892,IFK Simrishamn,Soccer,1
100354,New Mexico United,Soccer,1
97482,CD Honduras Progreso,Soccer,1
99063,Gwangju FC,Soccer,1
96521,Darlington FC,Soccer,1
106348,AC Nardo,Soccer,1
100310,Masafi,Soccer,1
111298,FK Kom Podgorica,Soccer,1
95806,Botafogo FC PB,Soccer,1
98762,Halsen IF,Soccer,1
95105,NC Magra,Soccer,1
99329,Fuzinar Ravne,Soccer,1
108258,Ethiopia Electricity,Soccer,1
117131,CA Colegiales,Soccer,1
98518,CA Angelopolis,Soccer,1
113148,Nittaidai FC,Soccer,1
112414,Seobu (Western) FC,Soccer,1
109927,FK Auda Riga,Soccer,1
115700,Urt MG,Soccer,1
99903,Onsala BK,Soccer,1
99856,Kungsangens IF,Soccer,1
97117,SV Rugenbergen 1925,Soccer,1
97910,Jamaica,Soccer,1
112795,Douglas Haig,Soccer,1
109617,FK Aksu,Soccer,1
97661,Portugal,Soccer,1
96222,CSK Uhersky Brod,Soccer,1
118950,Langwarrin SC,Soccer,1
106805,Scotland,Soccer,1
95317,Redlands United FC,Soccer,1
113288,FC Zorya Lugansk,Soccer,1
116795,Kakawa FC Viareggio Team,Soccer,1
117211,FK Viltis Vilnius,Soccer,1
106109,Valledupar FC,Soccer,1
107689,KS Polonia Nysa,Soccer,1
96558,Guiseley FC,Soccer,1
95840,Cuiaba Esporte Clube MT,Soccer,1
113016,Italy,Soccer,1
99401,Deportivo Alaves,Soccer,1
97125,VfB Lubeck II,Soccer,1
99012,Sporting CP,Soccer,1
98296,Kenya Police,Soccer,1
96993,MSV Neuruppin,Soccer,1
96788,SO Cholet,Soccer,1
97276,ASV Neumarkt,Soccer,1
121247,KaaPo,Soccer,1
97374,Tamale City FC,Soccer,1
97611,Sudeva Delhi FC,Soccer,1
96889,Bayer Leverkusen,Soccer,1
97163,FC Viktoria Cologne,Soccer,1
95642,CR Vasco da Gama RJ,Soccer,1
98350,UN Kaerjeng 97,Soccer,1
112878,NK Travnik,Soccer,1
100121,Samsunspor,Soccer,1
95615,Jorge Wilstermann,Soccer,1
96817,Le Havre AC,Soccer,1
100400,Holywell Town,Soccer,1
114036,Colorado International Soccer Academy,Soccer,1
108921,FK Jedinstvo Bijelo Polje,Soccer,1
111330,Vaengir Jupiters,Soccer,1
118589,Kyrgyzstan,Soccer,1
98423,FC Juarez,Soccer,1
113298,Northern Colorado Hailstorm FC,Soccer,1
113743,JS Talangai,Soccer,1
97909,Barbados,Soccer,1
96428,Charlton Athletic,Soccer,1
97943,Saudi Arabia,Soccer,1
96944,Kickers Emden,Soccer,1
106004,SCU Torreense,Soccer,1
96388,Manchester City,Soccer,1
97194,SC Blau-Weiß Papenburg,Soccer,1
99644,Atzeneta UE,Soccer,1
99410,Racing Santander,Soccer,1
98179,US Catanzaro,Soccer,1
96079,AD San Carlos,Soccer,1
118123,Jfk Ventspils,Soccer,1
95492,Gabala FK,Soccer,1
118936,Iowa Raptors FC,Soccer,1
98999,Vasco da Gama Vidigueira,Soccer,1
98368,Blo-Weiss Medernach,Soccer,1
107695,Rosenborg BK Kvinner,Soccer,1
95178,Boca Juniors,Soccer,1
110625,Kanagawa Sagamihara,Soccer,1
98655,FK Belasica Strumica,Soccer,1
106749,MTK Hungaria Budapest,Soccer,1
98586,FC Volendam,Soccer,1
100186,Orduspor 1967,Soccer,1
111297,FK Igalo 1929,Soccer,1
97850,Skovde AIK,Soccer,1
99917,IFK Haninge,Soccer,1
112782,Villa Mitre de Bahia Blanca,Soccer,1
100194,Bayrampasa,Soccer,1
97933,Uzbekistan,Soccer,1
95755,Cascavel PR,Soccer,1
113201,Strogino Moscow,Soccer,1
95262,CA Platense,Soccer,1
113278,FC Prykarpattya Ivano-Frankivsk,Soccer,1
95933,Guarany SC CE,Soccer,1
113020,Andorra,Soccer,1
96731,FF Jaro,Soccer,1
106280,Sammaurese Calcio,Soccer,1
113224,FC Amkar Perm,Soccer,1
95983,Atletico New Oil Academy,Soccer,1
96215,FC Hlucin,Soccer,1
97186,SpVgg Unterhaching,Soccer,1
117808,Asd Seravezza Pozzi Calcio,Soccer,1
100054,Ratchaburi Mitr Phol FC,Soccer,1
121217,Koips,Soccer,1
96320,CD Universidad Catolica del Ecuador,Soccer,1
98728,Funnefoss/Vormsund,Soccer,1
109316,Chile,Soccer,1
96370,Fulham FC,Soccer,1
98598,de Graafschap U21,Soccer,1
99600,AD Siete Villas,Soccer,1
97031,SV Westerhausen,Soccer,1
96334,Enppi Club,Soccer,1
118043,Independente FC,Soccer,1
106529,FC Astana,Soccer,1
117145,FK Bumprom,Soccer,1
98222,Faulkland SC,Soccer,1
96704,JK Tabasalu,Soccer,1
100095,Istanbulspor AS,Soccer,1
97356,FC Karbach,Soccer,1
95276,Racing Club Avellaneda,Soccer,1
109916,BK Olympic,Soccer,1
