id,name,region,sport,sport_id,region_id
11008,Morocco Cup,Morocco,Soccer,1,576
10355,Tercera Federacion - Group 13,Spain,Soccer,1,532
11042,Premier League,Kazakhstan,Soccer,1,552
11700,Segunda Division,Peru,Soccer,1,516
11423,USL League Two,USA,Soccer,1,543
10279,3rd Division Group 1,Norway,Soccer,1,511
10382,2. Lig,Turkiye,Soccer,1,538
11769,U17 AFC Asian Cup,International,Soccer,1,490
10046,Alagoano,Brazil,Soccer,1,458
10067,Canadian Premier League,Canada,Soccer,1,462
10024,Pro League,Belgium,Soccer,1,454
11080,Botola 2,Morocco,Soccer,1,576
10169,Super League 2,Greece,Soccer,1,482
10092,2nd Division,Denmark,Soccer,1,470
11225,Damallsvenskan,Sweden,Soccer,1,533
10106,League Two,England,Soccer,1,474
10160,Bayernliga North,Germany,Soccer,1,479
10380,Super Lig,Turkiye,Soccer,1,538
12005,U17 European Women's Championship,International,Soccer,1,490
10004,Northern NSW NPL,Australia,Soccer,1,448
11045,Copa do Brasil,Brazil,Soccer,1,458
10025,Beker van Belgie,Belgium,Soccer,1,454
10327,Superliga,Slovakia,Soccer,1,529
11300,Ligue 2,Tunisia,Soccer,1,537
11333,Prva Liga - Fed BiH,Bosnia & Herzegovina,Soccer,1,456
10233,Serie C - Group A,Italy,Soccer,1,494
10110,National League North,England,Soccer,1,474
10921,Kansallinen Liiga - Women,Finland,Soccer,1,476
10171,Super League - Women,Greece,Soccer,1,482
11324,Torneo Federal A,Argentina,Soccer,1,447
10268,NPFL,Nigeria,Soccer,1,508
10899,Liga Femenina,Colombia,Soccer,1,464
10365,Division 2 - Vastra Gotaland,Sweden,Soccer,1,533
10354,Tercera Federacion - Group 12,Spain,Soccer,1,532
11340,Premier League,Faroe Islands,Soccer,1,584
11212,Superliga,Uzbekistan,Soccer,1,581
10241,Super Cup,Japan,Soccer,1,497
10246,Premier League,Kuwait,Soccer,1,500
10230,Campionato Primavera 1,Italy,Soccer,1,494
10386,U19 Elit A,Turkiye,Soccer,1,538
10127,Ykkonen,Finland,Soccer,1,476
11514,Federation Cup,Bahrain,Soccer,1,451
10001,Queensland NPL,Australia,Soccer,1,448
10368,Division 2 - Norra Gotaland,Sweden,Soccer,1,533
9988,Ligue 1,Algeria,Soccer,1,445
11209,Druga Liga Crne Gore,Montenegro,Soccer,1,577
10195,Cyprus Women Cup,International,Soccer,1,490
10324,Premier League 1 - Women,Scotland,Soccer,1,527
10186,League Cup A - Women,Iceland,Soccer,1,487
10183,Besta deild - Women,Iceland,Soccer,1,487
10966,Tunisian Cup,Tunisia,Soccer,1,537
11910,Cup Crne Gore,Montenegro,Soccer,1,577
10373,Schweizer Cup,Switzerland,Soccer,1,534
11461,Premier League - Women,Russia,Soccer,1,523
11618,Pervaya Liga,Kazakhstan,Soccer,1,552
11410,National League,New Zealand,Soccer,1,551
10285,Omani League,Oman,Soccer,1,512
