"id","name","region","sport","sport_id","region_id"
12150,ITF Cyprus 01A - Women Doubles,International,Tennis,3,490
11134,ITF Malaysia 02A - Women Singles,International,Tennis,3,490
10628,ITF USA 07A - Women Singles,International,Tennis,3,490
12026,ITF France 06A - Women Singles,International,Tennis,3,490
12027,ATP Challenger Ostrava - Czech Republic Men Singles,International,Tennis,3,490
11670,ITF Egypt 08A - Women Doubles,International,Tennis,3,490
11593,ITF Canada F2 - Men Doubles,International,Tennis,3,490
11982,ITF USA 13A - Women Doubles,International,Tennis,3,490
11778,SRL Spring Invitational Hanoi - VIE - Women,International,Tennis,3,490
11908,ITF USA 16A - Women Doubles,International,Tennis,3,490
11938,ITF Egypt F13 - Men Singles,International,Tennis,3,490
11044,ATP Delray Beach - USA Men Doubles,International,Tennis,3,490
11784,ITF Singapore F1 - Men Singles,International,Tennis,3,490
11153,ITF Egypt 04A - Women Singles,International,Tennis,3,490
11234,WTA Austin - USA Women Singles,International,Tennis,3,490
11482,ITF Portugal F6 - Men Doubles,International,Tennis,3,490
11061,ITF India 04A - Women Singles,International,Tennis,3,490
11656,ITF Spain 05A - Women Singles,International,Tennis,3,490
10622,ITF Turkey 04A - Women Singles,International,Tennis,3,490
11144,ATP Challenger Rovereto - Italy Men Singles,International,Tennis,3,490
11020,SRL Winter Invitational Palmerston North - NZL - Women,International,Tennis,3,490
11304,ITF Argentina F2 - Men Doubles,International,Tennis,3,490
10612,ITF Turkey F4 - Men Singles,International,Tennis,3,490
11638,ITF Egypt 08A - Women Singles,International,Tennis,3,490
11675,ITF Croatia F3 - Men Doubles,International,Tennis,3,490
12141,ITF Spain 16A - Women Doubles,International,Tennis,3,490
11983,ITF Trinidad & Tobago F1 - Men Doubles,International,Tennis,3,490
12106,ITF Czech Republic 04A - Women Singles,International,Tennis,3,490
11483,ITF USA 11A - Women Doubles,International,Tennis,3,490
11440,ATP Challenger Puerto Vallarta - Mexico Men Singles,International,Tennis,3,490
11238,ATP Challenger Pune - India Men Double,International,Tennis,3,490
12155,ATP Challenger Coquimbo - Chile Men Doubles,International,Tennis,3,490
12046,ATP Challenger Buenos Aires - Argentina Men Double,International,Tennis,3,490
11758,ITF Colombia 03A - Women Doubles,International,Tennis,3,490
11095,ITF Mexico 03A - Women Doubles,International,Tennis,3,490
11829,ITF Turkey F13 - Men Doubles,International,Tennis,3,490
11848,SRL Spring Invitational Wellington - NZL,International,Tennis,3,490
12078,ITF USA 15A - Women Doubles,International,Tennis,3,490
11470,ITF Egypt 06A - Women Doubles,International,Tennis,3,490
12070,ITF Serbia 02A - Women Doubles,International,Tennis,3,490
11689,WTA Miami - USA Women Doubles,International,Tennis,3,490
11635,ITF Croatia F3 - Men Singles,International,Tennis,3,490
11802,ITF Croatia 01A - Women Singles,International,Tennis,3,490
11718,ITF Tunisia 13A - Women Singles,International,Tennis,3,490
11424,ITF India 07A - Women Singles,International,Tennis,3,490
12136,ITF Georgia F2 - Men Doubles,International,Tennis,3,490
11934,ATP Challenger Oeiras 3 - Portugal Men Singles,International,Tennis,3,490
11830,ITF France F9 - Men Doubles,International,Tennis,3,490
10975,ITF Portugal 02A - Women Doubles,International,Tennis,3,490
11663,ITF Indonesia 02A - Women Doubles,International,Tennis,3,490
11827,ITF Italy F2 - Men Doubles,International,Tennis,3,490
11066,ITF Tunisia F10 - Men Singles,International,Tennis,3,490
11633,ITF Greece F2 - Men Singles,International,Tennis,3,490
11791,ATP Challenger Murcia - Spain Men Singles,International,Tennis,3,490
11898,ITF Tunisia F19 - Men Doubles,International,Tennis,3,490
11534,ITF Colombia 01A - Women Singles,International,Tennis,3,490
11526,ITF Spain F4 - Men Singles,International,Tennis,3,490
12151,ITF Sweden 01A - Women Doubles,International,Tennis,3,490
11087,ITF Tunisia F9 - Men Doubles,International,Tennis,3,490
11672,ITF Turkey 11A - Women Doubles,International,Tennis,3,490
11068,ITF Egypt 03A - Women Singles,International,Tennis,3,490
11706,ITF Japan 02A - Women Singles,International,Tennis,3,490
11717,ITF Tunisia F17 - Men Singles,International,Tennis,3,490
11905,ITF Spain 11B - Women Doubles,International,Tennis,3,490
12133,ATP Challenger Gwangju - Korea Republic Men Double,International,Tennis,3,490
11757,ITF Tunisia 13A - Women Doubles,International,Tennis,3,490
11959,ITF Ecuador 01A - Women Singles,International,Tennis,3,490
11502,SRL Winter Invitational Samsun - TUR - Women,International,Tennis,3,490
11659,ITF Colombia 02A - Women Singles,International,Tennis,3,490
12126,ITF Italy 05A - Women Singles,International,Tennis,3,490
11591,ITF Colombia F1 - Men Doubles,International,Tennis,3,490
11950,ITF Great Britain 05A - Women Singles,International,Tennis,3,490
12010,ATP Challenger Seoul - Korea Republic Men Singles,International,Tennis,3,490
11732,ITF Italy F1 - Men Singles,International,Tennis,3,490
11939,ITF Turkey F15 - Men Singles,International,Tennis,3,490
12011,ITF Indonesia F5 - Men Singles,International,Tennis,3,490
10930,ITF Australia F1 - Men Singles,International,Tennis,3,490
11590,ATP Challenger Phoenix - USA Men Double,International,Tennis,3,490
11694,SRL Spring Invitational Qarshi - UZB,International,Tennis,3,490
12104,ITF Georgia F2 - Men Singles,International,Tennis,3,490
11151,ITF Spain 02A - Women Singles,International,Tennis,3,490
11750,ITF Italy F1 - Men Doubles,International,Tennis,3,490
10986,ITF Egypt 02A - Women Singles,International,Tennis,3,490
10952,ITF Great Britain F2 - Men Singles,International,Tennis,3,490
11834,ITF Spain 08A - Women Doubles,International,Tennis,3,490
11781,ATP Estoril - Portugal Men Double,International,Tennis,3,490
11145,ATP Challenger Rovereto - Italy Men Doubles,International,Tennis,3,490
12065,ITF Germany F4 - Men Doubles,International,Tennis,3,490
12038,ITF Trinidad and Tobago F2 - Men Singles,International,Tennis,3,490
11668,ITF Egypt F9 - Men Doubles,International,Tennis,3,490
11917,SRL Spring Invitational Dunedin - NZL - Women,International,Tennis,3,490
10608,ATP Challenger Tenerife 2 - Spain Men Singles,International,Tennis,3,490
11647,ATP Challenger - Biel - Switzerland Men Double,International,Tennis,3,490
11748,ITF Turkey F12 Men Doubles,International,Tennis,3,490
11298,ITF Turkey 08A - Women Doubles,International,Tennis,3,490
10611,ITF Egypt F2 - Men Doubles,International,Tennis,3,490
12156,ITF Serbia F2 - Men Doubles,International,Tennis,3,490
11985,ITF USA 14A - Women Doubles,International,Tennis,3,490
12033,ITF Tunisia F21 - Men Singles,International,Tennis,3,490
12157,ITF USA F13 - Men Doubles,International,Tennis,3,490
12130,WTA 125k Reus - Spain Women Singles,International,Tennis,3,490
10638,WTA 125K Cali - Colombia Women Singles,International,Tennis,3,490
12139,ATP Challenger Aix en Provence - France Men Doubles,International,Tennis,3,490
11899,ITF Spain 09A - Women Doubles,International,Tennis,3,490
10968,ATP Montpellier - France Men Double,International,Tennis,3,490
11174,ITF Malaysia 02A - Women Doubles,International,Tennis,3,490
11536,ITF Greece F1 - Men Singles,International,Tennis,3,490
10990,ITF Great Britain 03A - Women Doubles,International,Tennis,3,490
11942,ITF France F11 - Men Singles,International,Tennis,3,490
12057,ITF Spain 10A - Women Doubles,International,Tennis,3,490
11661,ITF Australia F5 - Men Doubles,International,Tennis,3,490
11592,ITF USA F8 - Men Doubles,International,Tennis,3,490
11980,ITF Croatia F6 - Men Doubles,International,Tennis,3,490
12073,ITF Portugal 05A - Women Doubles,International,Tennis,3,490
11089,ITF Egypt 03A - Women Doubles,International,Tennis,3,490
11545,ITF Switzerland F1 - Men Singles,International,Tennis,3,490
11796,ITF Egypt F11 - Men Singles,International,Tennis,3,490
12023,ITF Italy F5 - Men Singles,International,Tennis,3,490
11627,ATP Challenger Zadar - Croatia Men Singles,International,Tennis,3,490
10607,ATP Challenger Tenerife 2 - Spain Men Doubles,International,Tennis,3,490
11756,ITF Tunisia F17 - Men Doubles,International,Tennis,3,490
12102,ITF Georgia 01A - Women Singles,International,Tennis,3,490
12121,ITF Tunisia 18A - Women Singles,International,Tennis,3,490
11937,ITF Spain F11 - Men Singles,International,Tennis,3,490
11562,ITF Australia F4 - Men Doubles,International,Tennis,3,490
11977,ITF Switzerland 02A - Women Doubles,International,Tennis,3,490
10630,ITF Mexico 01A - Women Singles,International,Tennis,3,490
11935,ATP Challenger Roseto Degli Abruzzi - Italy Men Singles,International,Tennis,3,490
10995,ITF USA 08A - Women Doubles,International,Tennis,3,490
11197,ITF Australia F2 - Men Singles,International,Tennis,3,490
10956,ITF Australia F1 - Men Doubles,International,Tennis,3,490
12140,ITF Spain F12 - Men Doubles,International,Tennis,3,490
11811,ITF Italy 01A - Women Singles,International,Tennis,3,490
11059,ITF Germany 01A - Women Singles,International,Tennis,3,490
11863,ATP Challenger Split - Croatia Men Doubles,International,Tennis,3,490
11749,ITF Egypt F10 - Men Doubles,International,Tennis,3,490
11213,SRL Winter Invitational Trabzon - TUR - Women,International,Tennis,3,490
11173,ITF Australia 04A - Women Doubles,International,Tennis,3,490
11165,WTA Merida - Mexico Women Doubles,International,Tennis,3,490
11720,ATP Challenger Mexico City - Mexico Men Singles,International,Tennis,3,490
11184,ITF Turkey 07A - Women Doubles,International,Tennis,3,490
11889,ITF USA 16A - Women Singles,International,Tennis,3,490
11979,ITF Great Britain 05A - Women Doubles,International,Tennis,3,490
11249,ITF Tunisia F13 - Men Singles,International,Tennis,3,490
12019,ITF Turkey F16 - Men Singles,International,Tennis,3,490
12030,ITF Great Britain 06A - Women Singles,International,Tennis,3,490
11969,ITF Turkey F15 - Men Doubles,International,Tennis,3,490
11736,ITF Colombia 03A - Women Singles,International,Tennis,3,490
11520,Iran F2 Men Singles,International,Tennis,3,490
11056,ITF Germany F2 - Men Singles,International,Tennis,3,490
11723,ATP Challenger Sanremo - Italy Doubles,International,Tennis,3,490
11457,ITF India 07A - Women Doubles,International,Tennis,3,490
11954,ITF Portugal 04A - Women Singles,International,Tennis,3,490
11501,SRL Winter Invitational Samsun - TUR,International,Tennis,3,490
11846,Billie Jean King Cup,International,Tennis,3,490
11906,ITF USA F10 - Men Doubles,International,Tennis,3,490
11669,ITF Spain 05A - Women Doubles,International,Tennis,3,490
11639,ITF Greece 02A - Women Singles,International,Tennis,3,490
11722,ATP Challenger Lille - France Men Doubles,International,Tennis,3,490
11157,ATP Challenger Rome - USA Men Singles,International,Tennis,3,490
10619,ITF Portugal 01A - Women Doubles,International,Tennis,3,490
12127,ITF Sweden 01A - Women Singles,International,Tennis,3,490
11922,ATP Munich - Germany Men Double,International,Tennis,3,490
11747,ITF Slovakia F1 - Men Doubles,International,Tennis,3,490
11872,ITF Turkey F14 - Men Singles,International,Tennis,3,490
12044,ATP Challenger Ostrava - Czech Republic Men Doubles,International,Tennis,3,490
11465,ITF Egypt F7 - Men Doubles,International,Tennis,3,490
11825,ITF Croatia F4 - Men Doubles,International,Tennis,3,490
11960,ITF Japan 05A - Women Singles,International,Tennis,3,490
11888,ITF USA F10 - Men Singles,International,Tennis,3,490
12105,ITF Turkey F17 - Men Singles,International,Tennis,3,490
11771,ATP Houston - USA Men Singles,International,Tennis,3,490
